x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5
21.068,0.05,-2.638882753,21.068,0.05,-2.618181892,10019.43305,0.05,-55.21646994,21.068,0.05,-2.604693932,21.068,0.05,-3.016354074
21.068,0.06,-2.627168992,21.068,0.06,-2.612551739,1019.957478,0.05,-52.95299189,21.068,0.06,-2.604945714,21.068,0.06,-3.018128042
21.068,0.07,-2.62801449,21.068,0.07,-2.612415233,102.0869143,0.05,-50.17212154,21.068,0.07,-2.618787125,21.068,0.07,-3.022271024
21.068,0.08,-2.631044824,21.068,0.08,-2.619387924,10699.3945,0.05,-55.4497758,21.068,0.08,-2.621010904,21.068,0.08,-3.018029628
21.068,0.09,-2.644234086,21.068,0.09,-2.622035867,107.6688244,0.05,-49.71798934,21.068,0.09,-2.625046408,21.068,0.09,-3.028969891
21.068,0.11,-2.649949545,21.068,0.11,-2.642003979,1087.954587,0.05,-52.31715287,21.068,0.11,-2.641797252,21.068,0.11,-3.026555466
21.068,0.12,-2.648143312,21.068,0.12,-2.644039027,113.6303045,0.05,-50.14954272,21.068,0.12,-2.636950343,21.068,0.12,-3.028962986
21.068,0.13,-2.65622052,21.068,0.13,-2.645709123,11425.59332,0.05,-55.94471263,21.068,0.13,-2.63929193,21.068,0.13,-3.028456051
21.068,0.14,-2.658502894,21.068,0.14,-2.64967756,1160.575499,0.05,-52.1531821,21.068,0.14,-2.646334305,21.068,0.14,-3.028657159
21.068,0.15,-2.658636692,21.068,0.15,-2.651610804,119.9971652,0.05,-49.51462233,21.068,0.15,-2.650734098,21.068,0.15,-3.030396212
21.068,0.16,-2.664664813,21.068,0.16,-2.656813154,12201.17367,0.05,-55.87498261,21.068,0.16,-2.658202157,21.068,0.16,-3.032791355
21.068,0.17,-2.670107649,21.068,0.17,-2.662134067,1238.134633,0.05,-53.52640925,21.068,0.17,-2.659359402,21.068,0.17,-3.032614761
21.068,0.18,-2.673795057,21.068,0.18,-2.667002739,126.7969724,0.05,-48.43086402,21.068,0.18,-2.663600175,21.068,0.18,-3.034927067
21.068,0.19,-2.679194818,21.068,0.19,-2.671372375,8786.633921,0.05,-55.36792643,21.068,0.19,-2.669441053,21.068,0.19,-3.038065485
21.068,0.1,-2.647134996,21.068,0.1,-2.636164613,7705.822779,0.05,-55.33820129,21.068,0.1,-2.638815174,21.068,0.1,-3.031613915
21.068,0.21,-2.683947954,21.068,0.21,-2.680883017,8228.458728,0.05,-55.30936781,21.068,0.21,-2.678844798,21.068,0.21,-3.036952609
21.068,0.22,-2.685840437,21.068,0.22,-2.684693487,2222.097607,0.05,-55.22699159,21.068,0.22,-2.682280703,21.068,0.22,-3.036879653
21.068,0.23,-2.693555276,21.068,0.23,-2.688694649,83.09412468,0.06,-55.11585238,21.068,0.23,-2.686739205,21.068,0.23,-3.039054184
21.068,0.24,-2.695852454,21.068,0.24,-2.693273704,9382.765028,0.05,-55.03647473,21.068,0.24,-2.688477667,21.068,0.24,-3.041278191
21.068,0.25,-2.699081451,21.068,0.25,-2.69734534,3747.405027,0.05,-55.03106089,21.068,0.25,-2.693435352,21.068,0.25,-3.040768848
21.068,0.26,-2.701359002,21.068,0.26,-2.700729625,4000.868569,0.05,-55.02999125,21.068,0.26,-2.696718786,21.068,0.26,-3.040371656
21.068,0.27,-2.704560034,21.068,0.27,-2.703702095,6329.233609,0.05,-55.00945401,21.068,0.27,-2.702423748,21.068,0.27,-3.041822771
21.068,0.28,-2.708471814,21.068,0.28,-2.706461504,6758.261494,0.05,-54.99913414,21.068,0.28,-2.706062205,21.068,0.28,-3.043233162
21.068,0.29,-2.712931701,21.068,0.29,-2.710570738,4869.440078,0.05,-54.98814771,21.068,0.29,-2.708008241,21.068,0.29,-3.045313988
21.068,0.2,-2.681200538,21.068,0.2,-2.676723395,5199.202003,0.05,-54.88951046,21.068,0.2,-2.676923464,21.068,0.2,-3.039145932
21.068,0.31,-2.718861998,21.068,0.31,-2.717339533,4560.67423,0.05,-54.84828607,21.068,0.31,-2.716423812,21.068,0.31,-3.044238913
21.068,0.32,-2.721905097,21.068,0.32,-2.722040771,3079.798508,0.05,-54.72602582,21.068,0.32,-2.72146416,21.068,0.32,-3.044686565
21.068,0.33,-2.723620583,21.068,0.33,-2.726769397,5927.522106,0.05,-54.68974359,21.068,0.33,-2.723602648,21.068,0.33,-3.045124648
21.068,0.34,-2.72764795,21.068,0.34,-2.730792085,1827.685219,0.05,-54.65510273,21.068,0.34,-2.729333531,21.068,0.34,-3.045773344
21.068,0.35,-2.731396382,21.068,0.35,-2.734241597,3287.864806,0.05,-54.53994301,21.068,0.35,-2.73378961,21.068,0.35,-3.046771421
21.068,0.36,-2.735293245,21.068,0.36,-2.738783716,7216.463276,0.05,-54.5138014,21.068,0.36,-2.73856518,21.068,0.36,-3.046503777
21.068,0.37,-2.736920748,21.068,0.37,-2.742827427,3510.079613,0.05,-54.50325729,21.068,0.37,-2.741420883,21.068,0.37,-3.045365921
21.068,0.38,-2.739968971,21.068,0.38,-2.745529163,2702.565427,0.05,-54.27863455,21.068,0.38,-2.743942266,21.068,0.38,-3.045326451
21.068,0.39,-2.743236605,21.068,0.39,-2.748232736,1950.607814,0.05,-54.23723185,21.068,0.39,-2.748796269,21.068,0.39,-3.046247701
21.068,0.3,-2.716185232,21.068,0.3,-2.713894071,4271.567631,0.05,-54.19590813,21.068,0.3,-2.712312007,21.068,0.3,-3.04405899
21.068,0.41,-2.748259308,21.068,0.41,-2.7554719,2884.979876,0.05,-54.07904944,21.068,0.41,-2.756353848,21.068,0.41,-3.04699434
21.068,0.42,-2.751229386,21.068,0.42,-2.758353315,2081.889145,0.05,-53.88707281,21.068,0.42,-2.758341642,21.068,0.42,-3.046405734
21.068,0.43,-2.755472732,21.068,0.43,-2.761706681,2371.840245,0.05,-53.86701539,21.068,0.43,-2.76389659,21.068,0.43,-3.04522592
21.068,0.44,-2.757766988,21.068,0.44,-2.765889445,2531.765381,0.05,-53.85903305,21.068,0.44,-2.768074011,21.068,0.44,-3.045762053
21.068,0.45,-2.759350376,21.068,0.45,-2.77006394,48.65061095,0.08,-53.76748231,21.068,0.45,-2.769079405,21.068,0.45,-3.045270926
21.068,0.46,-2.761457334,21.068,0.46,-2.772770488,11425.59332,0.06,-53.75773314,21.068,0.46,-2.771974614,21.068,0.46,-3.044469263
21.068,0.47,-2.76413207,21.068,0.47,-2.776046335,8228.458728,0.06,-53.70166761,21.068,0.47,-2.776611738,21.068,0.47,-3.043437238
21.068,0.48,-2.768158472,21.068,0.48,-2.777832873,5551.387739,0.05,-53.68596919,21.068,0.48,-2.77983941,21.068,0.48,-3.043290437
21.068,0.49,-2.771572644,21.068,0.49,-2.781486456,1604.821308,0.05,-53.67977332,21.068,0.49,-2.782796785,21.068,0.49,-3.043682223
21.068,0.4,-2.7458451,21.068,0.4,-2.752105868,10699.3945,0.06,-53.65467044,21.068,0.4,-2.752939229,21.068,0.4,-3.046724032
21.068,0.51,-2.774650798,21.068,0.51,-2.788405286,12201.17367,0.06,-53.56049503,21.068,0.51,-2.789591455,21.068,0.51,-3.041721893
21.068,0.52,-2.777380365,21.068,0.52,-2.791700057,10019.43305,0.06,-53.54292704,21.068,0.52,-2.792924304,21.068,0.52,-3.041285829
21.068,0.53,-2.781038416,21.068,0.53,-2.794082574,50.59885249,0.06,-53.51762121,21.068,0.53,-2.796158789,21.068,0.53,-3.04108074
21.068,0.54,-2.782808451,21.068,0.54,-2.796895596,52.67957446,0.05,-53.4121483,21.068,0.54,-2.79901275,21.068,0.54,-3.040807261
21.068,0.55,-2.784985814,21.068,0.55,-2.799332846,5551.387739,0.06,-53.39373593,21.068,0.55,-2.802285341,21.068,0.55,-3.038847792
21.068,0.56,-2.786980604,21.068,0.56,-2.80255051,1503.915082,0.05,-53.36714709,21.068,0.56,-2.80543072,21.068,0.56,-3.03811693
